                                          name                                           |    weight     |         measure         | kcal | kind 
 Panqueca integral com molho caseiro de tomate, cebola, milho e palmito                  | 70 g          | 1 unidade               |   80 | a
 panqueca integral com molho caseiro de tomate e proteína de soja                        | 70g           | 1 unidade               |   86 | a
 Panqueca integral com molho caseiro de tomate, pimentão e cebola                        | 60 g          | 1 unidade               |   70 | a
 Panqueca integral recheada com frango                                                   | 50 g          | 1 unidade               |  157 | a
 Panqueca integral (somente a massa)                                                     | 50 g          | 1 unidade               |   61 | a
 Pão 100% integral grãos e castanhas vitta nutrella                                      | 30 g          | 1 fatia                 |   77 | a
 Pão 100% Integral linhaça - Plus Vita                                                   | 50 g          | 2 fatias                |  122 | a
 Pão 100% Integral trigo - Plus Vita                                                     | 50 g          | 2 unidades              |  106 | a
 Pão 15 grãos Integral Breads                                                            | 33 g          | 1 fatia                 |   93 | a
 Pão Alemão Fitness Brot WICKBOLD                                                        | 72 g          | 1 fatia                 |  140 | a
 Pão Alemão Integral Vollkorn Brot WICKBOLD                                              | 50 g          | 1 fatia                 |   99 | a
 Pão de Centeio Light Nutrella                                                           | 35 g          | 2 unidades              |   70 | a
 Pão de Centeio Nutrella                                                                 | 50 g          | 2 unidades              |  122 | a
 Pão de fibras                                                                           | 50 g          | 1 fatia                 |   52 | a
 Pão de Forma 7 Grãos Light - NUTRELLA                                                   | 50 g          | 2 fatias                |  112 | a
 Pão de forma Especial Plus Vita light 100% 12 grãos integral                            | 67 g          | 2 unidades              |  115 | a
 Pão de forma integral                                                                   | 50 g          | 2 fatias                |  126 | a
 Pão de forma integral castanha do pará e quinoa - Wickbold Grão Sabor                   | 50 g          | 1,5 fatia               |  134 | a
 pão de forma integral light de trigo e Linho - SevenBoys                                | 50 Gramas - g | 3 Fatias                |  109 | a
 Pão de forma integral light Gavolli                                                     | 50 g          | 2 fatias                |  119 | a
 Pão de forma integral - Tegral                                                          | 50g           | 2 fatias                |  109 | a
 Pão de Forma Integral Total Quinoa                                                      | 50g           | 1 fatia                 |   44 | a
 Pão de forma multigrãos                                                                 | 50 g          | 2 fatias                |  120 | a
 Pão de forma Plus Vita 100% Integral 12 grãos                                           | 50 g          | 2 fatias                |  133 | a
 Pão de forma Plus Vita light 100% integral cenoura                                      | 40 g          | 2 unidades              |  108 | a
 Pão de forma Plus Vita light 100% integral iogurte                                      | 40 g          | 2 unidades              |   84 | a
 Pão de Iogurte, Cenoura e Mel Light - NUTRELLA                                          | 50 g          | 2 fatias                |  104 | a
 Pão de Iogurte e Cereais Light - NUTRELLA                                               | 50 g          | 2 unidades              |  104 | a
 Pão de Iogurte, Maçã e Banana Light - NUTRELLA                                          | 50 g          | 2 fatias                |  105 | a
 Pão de Linho Light - NUTRELLA                                                           | 50 g          | 2 fatias                |  105 | a
 Pão de soja                                                                             | 50 g          | 2 fatias                |  154 | a
 Pão francês integral                                                                    | 50 g          | 1 unidade               |  111 | a
 pao frances integral com quinua                                                         | 50g           | 1 unidade               |  110 | a
 Pão integral 12 grãos                                                                   | 50 g          | 2 fatias                |  120 | a
 Pão integral 14 grãos - Nutrella                                                        | 50 g          | 2,5 fatias              |  117 | a
 Pão Integral 15cm - Subway                                                              | 90 g          | 1 baguete               |  212 | a
 Pão Integral 30cm - Subway                                                              | 180 g         | 1 baguete               |  423 | a
 Pão integral 9 grãos - Pullman                                                          | 50g           | 2 fatias                |  126 | a
 Pao integral caseiro com aveia, farelo de trigo e linhaça                               | 90 g          | 1 fatia                 |   75 | a
 Pão integral castanha do Pará e quinoa Wickbold                                         | 50 g          | 1,5 fatia               |  134 | a
 Pão integral com castanhas                                                              | 25 g          | 1 fatia                 |   80 | a
 pao integral de alho                                                                    | 25g           | 1 fatia                 |   27 | a
 Pão integral de aveia e nozes                                                           | 130 g         | 1 fatia                 |  110 | a
 paõ integral firenze                                                                    | 50g           | 2 fatia                 |  108 | a
 Pão Integral Granola 15cm - Subway                                                      | 90 g          | 1 baguete               |  253 | a
 Pão Integral Granola 30cm - Subway                                                      | 180 g         | 1 baguete               |  486 | a
 Pão integral light Milani                                                               | 25 g          | 1 fatia                 |   50 | a
 Pão integral light Pullman                                                              | 50 g          | 2 fatias                |  100 | a
 Pão integral light - Tegral                                                             | 50g           | 2 fatias                |  109 | a
 Pão integral light trigo e linho                                                        | 50 g          | 3 fatias                |  104 | a
 Pão integral light trigo e linho Baudini                                                | 50 g          | 2 fatias                |  118 | a
 Pão integral light Trigovita                                                            | 25 g          | 1 fatia                 |   36 | a
 Pão integral SevenBoys Light - iogurte e aveia                                          | 17 g          | 1 fatia                 |   36 | a
 Pão Integral tipo sueco Plus Vita                                                       | 7 g           | 2 unidades              |   32 | a
 Pão integral trigo e linho light Seven Boys                                             | 33 g          | 1,5 fatia               |  118 | a
 Pão integral trigo e linho light Seven Boys                                             | 33 g          | 1,5 fatia               |  118 | a
 Pao integral Vida                                                                       | 50 g          | 1 fatia                 |   60 | a
 Pão integral Wickbold quadradinho                                                       | 31 g          | 1 fatia                 |   76 | a
 Pão light integral 10 grãos com quinoa - Wickbold                                       | 50 g          | 2 fatias                |  116 | a
 Pão light integral aveia Wickbold                                                       | 80 g          | 2 fatias                |  117 | a
 pao light integral e fibras panco                                                       | 50g           | 2 1/2                   |  115 | a
 pao light integral linhaça e quino pullmana                                             | 50g           | 2 1/2  fatias           |  111 | a
 Pão Multi-Grãos                                                                         | 50 g          | 1 unidade               |  168 | a
 Pão Preto Nutrella                                                                      | 56 g          | 2 unidades              |  140 | a
 Pão Preto Wickbold                                                                      | 31 g          | 1 unidade               |   76 | a
 Pão SevenBoys Integral Preto                                                            | 33 g          | 1 fatia                 |   77 | a
 Pão Wickbold light aveia integral                                                       | 25 g          | 1 fatia                 |   58 | a
 papa nestum                                                                             | 30g           | 1 copo                  |  192 | a
 Páprica                                                                                 | 5 g           | 1 xícara de chá         |   14 | a
 Passas                                                                                  | 100 g         | 1 porção                |  300 | a
 Pasta de soja                                                                           | 12 g          | 1 colher de sopa        |   32 | a
 Pasta Integral de Amendoim - Inam                                                       | 15 g          | 1 colher de sopa        |   89 | a
 Pastel assado integral de frango                                                        | 25g           | 1 unidade               |   83 | a
 Pastrami Sadia Speciale                                                                 | 7 g           | 1 fatia                 |    8 | a
 Patê de Atum Tradicional - Coqueiro                                                     | 10 g          | 1 colher de sopa        |   17 | a
 Patê de Azeitonas - Coqueiro                                                            | 10 g          | 1 colher de sopa        |   18 | a
 Pé-de-moleque diet - Flormel                                                            | 25 g          | 1 unidade               |  115 | a
 Pé de moleque light Fibrasmil                                                           | 15 g          | 1 unidade               |   66 | a
 Peito de frango defumado light                                                          | 60 g          | 1 fatia                 |   11 | a
 Peito de Peru                                                                           | 17 g          | 1 fatia                 |   18 | a
 Peixe cavalinha                                                                         | 100g          | 2 files                 |  260 | a
 peixe ensopado com batata, pimentão, cebola e tomate                                    | 50g           | 2 colheres de sopa      |   35 | a
 Peixe pargo                                                                             | 100 g         | 1 filé                  |   96 | a
 Peixe serra                                                                             | 100 g         | 1 filé                  |  108 | a
 Penne à Puttanesca                                                                      | 180 g         | 1 prato de sobremesa    |  179 | a
 Penne integral orquídea                                                                 | 80 g          | 1 xícara                |  266 | a
 Pepino                                                                                  | 36 g          | 2 colheres de sopa      |    3 | a
 Pepino japonês                                                                          | 100g          | 1 unidade               |   13 | a
 Pepinos em conserva Orgânico Jatobá                                                     | 10 g          | 1 unidade               |    2 | a
 Pepsi                                                                                   | 200 ml        | 1 copo                  |   86 | a
 Pequi / piqui                                                                           | 10 g          | 2 unidades              |   20 | a
 Pêra                                                                                    | 130 g         | 1 unidade               |   79 | a
 Pêra Desidratada - Fruit Co.                                                            | 40 g          | 1 pacote                |   76 | a
 Pêssego                                                                                 | 100 g         | 1 unidade               |   36 | a
 Pêssego em calda                                                                        | 120 g         | 2 unidades              |   72 | a
 Pêssego em calda light - Taeq                                                           | 140 g         | 3 pedaços               |   31 | a
 Picolé de Frutas Amarelas Molico NESTLÉ                                                 | 66 g          | 1 unidade               |   56 | a
 Picolé de Frutas Vermelhas Molico NESTLÉ                                                | 60 g          | 1 unidade               |   66 | a
 Pimentão amarelo                                                                        | 15 g          | 1 colher de sopa        |    4 | a
 Pimentão verde                                                                          | 15 g          | 1 colher de sopa        |    3 | a
 Pimentão vermelho                                                                       | 15 g          | 1 colher de sopa        |    3 | a
 Pimenta Tropical Orgânica Jatobá                                                        | 5 g           | 1 colher de chá         |    2 | a
 Pinha (Fruta do conde)                                                                  | 60 g          | 1 unidade               |   52 | a
 Pinhão                                                                                  | 5 g           | 1 unidade               |    8 | a
 Pipoca natural sem sal                                                                  | 15 g          | 1 xícara                |   66 | a
 Pipoca para microondas natural sem sal light                                            | 25 g          | 1 xícara                |   90 | a
 Pistache                                                                                | 1 g           | 2 unidades              |   11 | a
 Pitanga                                                                                 | 70 g          | 10 unidades             |   28 | a
 Pólen                                                                                   | 5 g           | 1 colher de sopa        |   10 | a
 Polpa de abacaxi                                                                        | 100 g         | 1 embalagem             |   51 | a
 Polpa de açaí                                                                           | 100 g         | 1 embalagem             |  247 | a
 Polpa de acerola                                                                        | 100 g         | 1 embalagem             |   16 | a
 Polpa de caja                                                                           | 100 g         | 1 embalagem             |   29 | a
 Polpa de caju                                                                           | 100 g         | 1 embalagem             |   32 | a
 Polpa de goiaba vermelha - Viapaxbio                                                    | 20 g          | 2 colheres de sopa      |   17 | a
 Polpa de graviola                                                                       | 100g          | 1 porção                |   64 | a
 Polpa de laranja                                                                        | 100 g         | 1 unidade               |   49 | a
 Polpa de maracuja                                                                       | 100 g         | 1 embalagem             |   50 | a
 Polpa de morango                                                                        | 100 g         | 1 embalagem             |   23 | a
 Polvo                                                                                   | 20 g          | 1 colher de sopa        |   16 | a
 Pó para preparo  de bebida de Ervas Aromáticas (origina)                                | 1,7 g         | 1/2 colher de chá       |    6 | a
 preparado de batida de abacaxi e banana- Mességué                                       | 25g           | 1 porçao                |   86 | a
 preparado de batida de pessego e manga- Mességué                                        | 25g           | 1 porçao                |   93 | a
 preparado de bebida sabor cacau- Mességué                                               | 25g           | 1 porçao                |   92 | a
 preparado de bebida sabor frutas vermelhas- Mességué                                    | 25g           | 200ml                   |   94 | a
 preparado de bebida sabor laranja- Mességué                                             | 25g           | 1 porçao                |   94 | a
 preparado de sopa de frango- Mességué                                                   | 25g           | 1 porçao                |   92 | a
 preparado de sopa de verduras- Mességué                                                 | 25g           | 1 porçao                |   89 | a
 preparado de yogurt frutas vermelhas- Mességué                                          | 25g           | 1 porçao                |   96 | a
 Previna Soja                                                                            | 15 g          | 1 colher de sopa        |   50 | a
 Proteina de soja texturizada (PTS / PVT)                                                | 30 g          | 2 colheres de sopa      |   90 | a
 Pudim de claras                                                                         | 20 g          | 1 colher de sopa        |   39 | a
 Pudim diet de côco - Dr Oetker                                                          | 6 g           | 1 colher de sopa        |   20 | a
 Pure de batata com leite desnatado e margarina light                                    | 140 g         | 1 porção                |  140 | a
 Purê de Tomate                                                                          | 20 g          | 1 colher de sopa        |    6 | a
 Queijo cotage                                                                           | 30 g          | 1 colher de sopa        |   30 | a
 Queijo cottage cremoso                                                                  | 30 g          | 1 colher de sopa        |   30 | a
 Queijo de soja (Tofu)                                                                   | 20 g          | 1 fatia                 |   19 | a
 Queijo Frescal Ultrafiltrado Polenghi                                                   | 50g           | 2 colheres sopa         |   80 | a
 Queijo fresco                                                                           | 100 g         | 1 pedaço                |   30 | a
 Quiabo                                                                                  | 30 g          | 1 colher de sopa        |   18 | a
 Quinoa Instantânea mista Vitalin                                                        | 100 g         | 1 xícara                |  437 | a
 Quinoa Instantânea Vitalin                                                              | 100 g         | 1 xícara                |  437 | a
 Quinua em Flocos - Quinua Real                                                          | 20 g          | 1 colher de sopa        |   92 | a
 Quinua em Grãos 3 cores - Quinua Real                                                   | 25 g          | 1 colher de sopa        |   92 | a
 Quinua em grãos comum - Quinua Real.                                                    | 25 g          | 1 colher de sopa        |   99 | a
 Quinua Orgânica em Grãos cozida                                                         | 25 g          | 1 colher de sopa        |   40 | a
 Rã                                                                                      | 30 g          | 1 unidade               |   31 | a
 Rabanete Cru                                                                            | 25 g          | 1 unidade               |    3 | a
 Ração Humana Integral Takinutri                                                         | 40 g          | 2 colheres de sopa      |   79 | a
 Rap10 Integral                                                                          | 40g           | 1 unidade               |  120 | a
 Rap10 Light                                                                             | 40 g          | 1 unidade               |   85 | a
 Ratatouille                                                                             | 15 g          | 1 colher de sopa        |   40 | a
 Redubio shake diet                                                                      | 30 g          | 1 copo                  |  106 | a
 Refrigerante coca cola/guaraná light/sprite zero                                        | 240 g         | 1 copo                  |    1 | a
 Repolho branco                                                                          | 40 g          | 1 prato de sobremesa    |    6 | a
 Repolho refogado                                                                        | 70 g          | 4 colheres de sopa      |   75 | a
 Repolho roxo                                                                            | 40 g          | 1 prato de sobremesa    |   12 | a
 Ricota condimentada                                                                     | 100g          | 1 prato                 |  104 | a
 Ritto Prato Feito - Mãe Terra                                                           | 45 g          | 1 xícara de chá         |  157 | a
 Romã                                                                                    | 100 g         | 1 unidade               |   56 | a
 Rúcula                                                                                  | 60 g          | 1 prato de sobremesa    |   10 | a
 Saint Peter (peixe)                                                                     | 113 g         | 1 file                  |   93 | a
 Sakemaki - Gendai                                                                       | 25 g          | 1 unidade               |   22 | a
 Sake Uramaki - Gendai                                                                   | 25 g          | 1 unidade               |   30 | a
 Salada de alface                                                                        | 150g          | 1 prato de sobremesa    |   20 | a
 salada de alface, cebola e pepino                                                       | 150g          | 1 prato de sobremesa    |   28 | a
 salada de alface com cebola                                                             | 150gr         | 1 prato de sobremesa    |   25 | a
 salada de alface com chuchu e cebola                                                    | 150gr         | 1 prato de sobremesa    |   29 | a
 Salada de alface com pimentão e cebola                                                  | 150g          | 1 prato de sobremesa    |   23 | a
 salada de alface com tomate e cebola                                                    | 150 g         | 1 prato de sobremesa    |   30 | a
 Salada de Algas Marinhas                                                                | 8 g           | 1 porção                |    7 | a
 salada de couve chinesa com cebola e pimentão                                           | 100gr         | 1 porção                |   30 | a
 Salada de couve chinesa com tomate                                                      | 100g          | 1 porção                |   27 | a
 Salada de frutas                                                                        | 40 g          | 1 colher de sopa        |   20 | a
 salada de quinoa                                                                        | 100 g         | 1 colher de sopa        |  100 | a
 Salada de repolho com cenoura                                                           | 50g           | 1 porção                |   25 | a
 salada de repolho com pimentão                                                          | 50gr          | 1 porção                |   23 | a
 sala de repolho                                                                         | 50g           | 1 porção                |   20 | a
 Saladinha oriental                                                                      | 250 g         | 1 prato                 |   74 | a
 Salsa                                                                                   | 10 g          | 1 colher de sopa        |    3 | a
 Sálvia - hortaliça                                                                      | 5 g           | 5 folhas                |    6 | a
 Sanafit Shake                                                                           | 30 g          | 2 porções               |  100 | a
 San Diego Uramaki - Gendai                                                              | 25 g          | 1 unidade               |   37 | a
 Sapoti                                                                                  | 100 g         | 1 unidade               |  178 | a
 Sashimi Atum - Gendai                                                                   | 50 g          | 5 unidades              |   87 | a
 Sashimi de Atum                                                                         | 10 g          | 1 unidade               |   14 | a
 Sashimi de Salmão                                                                       | 10 g          | 1 unidade               |   12 | a
 Sashimi Kani                                                                            | 50 g          | 5 fatias                |   92 | a
 Sashimi Polvo                                                                           | 50 g          | 5 unidades              |  119 | a
 Sashimi Salmão                                                                          | 50 g          | 5 unidades              |  126 | a
 Sashimi Tilápia                                                                         | 50 g          | 5 unidades              |   37 | a
 Sashimi Truta Salmão                                                                    | 50 g          | 5 unidades              |  119 | a
 Schweppes Citrus Light                                                                  | 200 ml        | 1 copo                  |    1 | a
 Schweppes Club Soda                                                                     | 200 ml        | 1 copo                  |    1 | a
 Schweppes Tônica Light                                                                  | 200 ml        | 1 copo                  |    1 | a
 Seitan (carne vegetal)                                                                  | 100 g         | 1 porção                |   90 | a
 Semente de Abóbora com Sal                                                              | 15 g          | 1 colher de sopa        |   78 | a
 Semente de Abóbora sem Sal                                                              | 15 g          | 1 colher de sopa        |   78 | a
 Semente de chia                                                                         | 20 g          | 1 colheres              |   70 | a
 Semente de girassol natural                                                             | 100 g         | 1/2 copo de café        |  572 | a
 Semente de girassol torrada sem sal                                                     | 10 g          | 1 colher de sopa        |   60 | a
 Semente de linhaça                                                                      | 10 g          | 1 colher de sopa        |   49 | a
 Sfoglie Nero cacau 70%                                                                  | 25 g          | 1 pedaço                |  134 | a
 Shake bio redux                                                                         | 30 g          | 3 colheres de sopa      |  205 | a
 shake Diet Dyn batido com leite desnatado                                               | 250 ml        | 1 1/2 copo              |  139 | a
 Shake light regulax fibras sabor ameixa                                                 | 10g           | 100ml                   |   60 | a
 Shake light regulax fibras sabor chocolate                                              | 10g           | 100ml                   |   63 | a
 Shake light regulax fibras sabor morango                                                | 10g           | 100ml                   |   60 | a
 Shake Morango Batavo                                                                    | 185ml         | 1                       |  208 | a
 Shake New Diet                                                                          | 58 g          | 5 colheres de sopa      |  200 | a
 Shimeji na manteiga                                                                     | 30 g          | 2 colheres de sopa      |   60 | a
 Skin Uramaki Especial - Gendai                                                          | 25 g          | 1 unidade               |   27 | a
 Skin Uramaki - Gendai                                                                   | 25 g          | 1 unidade               |   25 | a
 Smoothies Alcatraz - Wraps                                                              | 350 ml        | 1 unidade               |  216 | a
 Smoothies Capri - Wraps                                                                 | 350 ml        | 1 unidade               |  101 | a
 Smoothies Córsega - Wraps                                                               | 350 ml        | 1 unidade               |  269 | a
 Smoothies Ellis Island - Wraps                                                          | 350 ml        | 1 unidade               |  281 | a
 Smoothies Itaparica - Wraps                                                             | 350 ml        | 1 unidade               |  195 | a
 Smoothies Santorini - Wraps                                                             | 350 g         | 1 unidade               |  115 | a
 Smoothies Tahiti - Wraps                                                                | 350 ml        | 1 unidade               |  208 | a
 snack de trigo                                                                          | 25g           | 1 xícara                |  116 | a
 Sobremesa Cremosa com Polpa de Açaí, Banana e Guaraná Fruitier BATAVO                   | 100 g         | 1 unidade               |  146 | a
 Soja Cozida                                                                             | 25 g          | 1 colher de sopa        |   43 | a
 Soja em grãos - Viapaxbio                                                               | 20 g          | 1 colher de sopa        |   32 | a
 soja torrada                                                                            | 100 gramas    | 1 porção                |  135 | a
 Sopa creme de brocolis e couve -flor                                                    | 200ml         | 1 porção                |   89 | a
 Sopa creme de tomate                                                                    | 130 g         | 1 xícara                |   49 | a
 Sopa de agrião                                                                          | 100g          | 1 prato fundo           |   35 | a
 Sopa de alho poró com champignon                                                        | 250 ml        | 1 copo                  |  105 | a
 Sopa de couve flor                                                                      | 250 ml        | 1 taça                  |  110 | a
 Sopa de ervilha                                                                         | 130 g         | 1 xícara                |   60 | a
 Sopa de feijão branco                                                                   | 130 mg        | 1 concha                |  101 | a
 Sopa de feijão com macarrão                                                             | 160 g         | 1 concha                |   59 | a
 sopa de frango com legumes                                                              | 30g           | 1 porção                |   94 | a
 Sopa de frango com legumes                                                              | 150 g         | 1 unidade               |  115 | a
 sopa de legumes com Frango Herbalife                                                    | 30g           | 1 porção                |   94 | a
 sopa de legumes Herbalife                                                               | 30g           | 1 porção                |   91 | a
 Sopa de peixe com legumes                                                               | 100 g         | 1 prato de sopa         |  150 | a
 Sopão do hospital do coração                                                            | 200 g         | 1 prato fundo           |  250 | a
 Sorvete de Creme Molico NESTLÉ                                                          | 60 g          | 1 bola                  |   62 | a
 Spaguetti integral Pasta Zara                                                           | 80 g          | 1 xícara                |  260 | a
 Spicy Tuna Uramaki - Gendai                                                             | 25 g          | 1 unidade               |   29 | a
 Strogonoff de berinjela light                                                           | 100 g         | 4 colheres de sopa      |  120 | a
 suca uva Kapo                                                                           | 200 ml        | 1 copo                  |  120 | a
 Suco Abacaxi - Tial                                                                     | 200 ml        | 1 copo                  |  112 | a
 Suco Ades de Maçã                                                                       | 200 ml        | 1 copo                  |   71 | a
 Suco Ades de manga                                                                      | 200 ml        | 1 copo                  |   63 | a
 Suco com beterraba sem açúcar                                                           | 250 ml        | 1 copo                  |   15 | a
 Suco de abacaxi com hortelã sem açúcar                                                  | 250 ml        | 1 copo                  |   55 | a
 Suco de abacaxi sem açúcar                                                              | 240 ml        | 1 copo                  |   64 | a
 Suco de acerola natural sem açúcar                                                      | 250 ml        | 1 copo                  |   52 | a
 Suco de Alfafa - Vale do Thithamá                                                       | 200 ml        | 1 copo                  |   70 | a
 Suco de amora natural                                                                   | 100g          | 1 copo                  |   53 | a
 Suco de Cajú light (néctar light) - Del Valle Mais                                      | 200 ml        | 1 copo                  |   25 | a
 Suco de cenoura Odwalla                                                                 | 355 ml        | 2 copos                 |  100 | a
 Suco de clorofila - Vale do Thithamá                                                    | 200 ml        | 1 copo                  |   60 | a
 Suco de cupuaçu sem açúcar                                                              | 240 ml        | 1 copo                  |   46 | a
 Suco de dente de leão - Vale do Thithamá                                                | 200 ml        | 1 copo                  |   70 | a
 Suco de folhas de alfafa                                                                | 200 ml        | 1 copo                  |   70 | a
 Suco de Goiaba light (néctar light) - Del Valle Mais                                    | 200 ml        | 1 copo                  |   25 | a
 suco de graviola                                                                        | 250ml         | 1 copo                  |   35 | a
 Suco de laranja baía                                                                    | 250 ml        | 1 copo                  |   92 | a
 Suco de Laranja Caseira light (néctar light) - Del Valle Mais                           | 200 ml        | 1 copo                  |   40 | a
 Suco de laranja com acerola natural sem açúcar                                          | 240 ml        | 1 copo                  |   77 | a
 Suco de laranja com cenoura natural e açúcar                                            | 250 ml        | 1 copo                  |  128 | a
 Suco de laranja com cenoura natural sem açúcar                                          | 240 ml        | 1 copo                  |  106 | a
 Suco de laranja da terra                                                                | 250 ml        | 1 copo                  |  102 | a
 suco de laranja macrovita                                                               | 200ml         | 1 copo                  |   72 | a
 Suco de laranja natural sem açúcar                                                      | 250 ml        | 1 copo                  |  112 | a
 Suco de laranja pêra                                                                    | 250 ml        | 1 copo                  |   82 | a
 Suco de laranja valência                                                                | 250 ml        | 1 copo                  |   90 | a
 Suco de laranja Xandó                                                                   | 300 ml        | 1 copo                  |   86 | a
 Suco de Limão natural sem açúcar (Limonada sem açúcar)                                  | 250 ml        | 1 copo                  |   12 | a
 Suco de maça Simply Apple                                                               | 240 ml        | 2 copos                 |  120 | a
 suco de mangaba                                                                         | 200ml         | 1 copo                  |  109 | a
 Suco de Manga light (néctar light) - Del Valle Mais                                     | 200 ml        | 1 copo                  |   33 | a
 Suco de maracujá natural sem açúcar sem diluição                                        | 240 ml        | 1 copo                  |  144 | a
 Suco de Melancia natural sem açúcar                                                     | 250 ml        | 1 copo                  |   70 | a
 Suco de melão sem açúcar                                                                | 180 ml        | 1 copo                  |   40 | a
 Suco de morango natural                                                                 | 100g          | 1 copo                  |   36 | a
 Suco de morango sem açúcar                                                              | 240 ml        | 1 copo                  |   39 | a
 Suco de Pêssego light (néctar light) - Del Valle Mais                                   | 200 ml        | 1 copo                  |   32 | a
 Suco de Tangerina Poncã                                                                 | 250 ml        | 1 copo                  |   90 | a
 Suco de Tomate Integral - Superbom                                                      | 250 ml        | 1 unidade               |   60 | a
 Suco de Uva Integral - Superbom                                                         | 250 ml        | 1 copo                  |  124 | a
 Suco de uva integral uva´so                                                             | 200 ml        | 1 copo                  |   78 | a
 Suco de uva light Del Valle                                                             | 200 ml        | 1 copo                  |   39 | a
 Suco de Uva light (néctar light) - Del Valle Mais                                       | 200 ml        | 1 copo                  |   34 | a
 Suco de Uva Panizzon                                                                    | 200 ml        | 1 copo                  |  140 | a
 Suco em pó - Clight                                                                     | 2 g           | 1 copo                  |    2 | a
 Suco Néctar Light SÚFRESH Sabor Uva                                                     | 200 g         | 1 unidade               |   30 | a
 Suco verde                                                                              | 200ml         | 1 copo                  |   60 | a
 Suco Vitaminado (laranja, limão, cenoura, tomate, mamão e açúcar)                       | 200 g         | 1 unidade               |  105 | a
 Sucrilhos integral - Nesfit                                                             | 30 g          | 3/4 xícara              |  104 | a
 suflê de abóbora                                                                        | 100g          | 1 porção                |   63 | a
 Supino Banana, Aveia e Mel com Chocolate                                                | 27 g          | 1 unidade               |   79 | a
 Supino Banana e Ameixa com Chocolate                                                    | 27 g          | 1 unidade               |   68 | a
 Supino Banana e Café com Chocolate                                                      | 27 g          | 1 unidade               |   74 | a
 Supino LIFE Antioxidante Chá Verde                                                      | 26 g          | 1 unidade               |   83 | a
 Supino LIFE Proteínas + Colágeno                                                        | 26 g          | 1 unidade               |   91 | a
 Supino LIFE Vitamina D + Cálcio                                                         | 26 g          | 1 unidade               |   86 | a
 Supino Light Banana e Chocolate ao Leite                                                | 28 g          | 1 unidade               |   79 | a
 Supino Light Banana e Chocolate Branco                                                  | 28 g          | 1 unidade               |   79 | a
 Supino Light Banana e Coco                                                              | 26 g          | 1 unidade               |   76 | a
 Supino Light Banana e Damasco                                                           | 27 g          | 1 unidade               |   70 | a
 Supino Light Fibras e Banana                                                            | 27 g          | 1 unidade               |   59 | a
 Supino Tradicional Banana e Chocolate ao Leite                                          | 28 g          | 1 unidade               |  110 | a
 Supino Tradicional Banana e Chocolate Branco                                            | 28 g          | 1 unidade               |  110 | a
 Suplemento de fibras Fibermais - Nestlé                                                 | 5 g           | 1 sachê                 |    1 | a
 Sururu                                                                                  | 100g          | 1 xícara                |   97 | a
 Sushi                                                                                   | 90 g          | 1 unidade               |   18 | a
 Sushi Atum                                                                              | 40 g          | 2 unidades              |   47 | a
 Sushi Camarão                                                                           | 40 g          | 2 unidades              |   70 | a
 Sushi Gunka Jyo - Gendai                                                                | 40 g          | 2 unidades              |   71 | a
